@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[6] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[5] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[4] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[3] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[2] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem0\2.1.0\rtl\sysmem0.v":1299:20:1299:25|Removing sequential instance genblk5\.genblk2\.rd_burst_r[14:0] (in view: work.sysmem0_ipgen_lscc_ahblmem_subordinate_Z39_layer0_1(verilog)) of type view:PrimLib.sdffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1325:12:1325:17|Removing sequential instance genblk5\.bridge_sm_r[4] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[14] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[13] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[12] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[11] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[10] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[9] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[8] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[7] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[6] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[5] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[4] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[3] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1285:12:1285:17|Removing sequential instance genblk5\.rd_prev_r[2] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\sysmem1\2.1.0\rtl\sysmem1.v":1299:20:1299:25|Removing sequential instance genblk5\.genblk2\.rd_burst_r[14:0] (in view: work.sysmem1_ipgen_lscc_ahblmem_subordinate_Z61_layer0_1(verilog)) of type view:PrimLib.sdffr(prim) because it does not drive other instances.
@N: MO111 :|Tristate driver <encrypted> (in view: work.cpu0_ipgen_vex_debug_0s_LFD2NX_14s_0s(verilog)) on net <encrypted> (in view: work.cpu0_ipgen_vex_debug_0s_LFD2NX_14s_0s(verilog)) has its enable tied to GND.
@N: MO111 :|Tristate driver <encrypted> (in view: work.cpu0_ipgen_riscvsmall_Z20_layer0(verilog)) on net <encrypted> (in view: work.cpu0_ipgen_riscvsmall_Z20_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\lscc\radiant\2023.2\ip\pmi\../avant/ram_dp_true/rtl\lscc_ram_dp_true.v":1323:33:1323:47|Tristate driver ecc_two_err_b_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) on net ecc_two_err_b_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\lscc\radiant\2023.2\ip\pmi\../avant/ram_dp_true/rtl\lscc_ram_dp_true.v":1322:33:1322:47|Tristate driver ecc_one_err_b_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) on net ecc_one_err_b_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\lscc\radiant\2023.2\ip\pmi\../avant/ram_dp_true/rtl\lscc_ram_dp_true.v":1321:33:1321:47|Tristate driver ecc_two_err_a_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) on net ecc_two_err_a_o (in view: work.lscc_ram_dp_true_inst_Z27_layer0(verilog)) has its enable tied to GND.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":321:16:321:21|Removing sequential instance gpio0_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[1] (in view: work.DualCore(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":321:16:321:21|Removing sequential instance gpio0_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[0] (in view: work.DualCore(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\gpio1\1.6.2\rtl\gpio1.v":321:16:321:21|Removing sequential instance gpio1_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[1] (in view: work.DualCore(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\ip\gpio1\1.6.2\rtl\gpio1.v":321:16:321:21|Removing sequential instance gpio1_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[0] (in view: work.DualCore(verilog)) because it does not drive other instances.
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.ahbl_hsize_p_r[0].
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.ahbl_hsize_p_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[2].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[3].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[4].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[5].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[6].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[7].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[8].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[9].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.rd_prev_r[10].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.wr_addr_r[0].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.wr_addr_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.ahbl_hresp_r.
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.ahbl_hreadyout_ext_r.
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[0].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[2].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[3].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[4].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[5].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s0\.genblk1\.bridge_s0.genblk5\.bridge_sm_r[6].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.ahbl_hsize_p_r[0].
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.ahbl_hsize_p_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[2].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[3].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[4].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[5].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[6].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[7].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[8].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[9].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.rd_prev_r[10].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.wr_addr_r[0].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.wr_addr_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.ahbl_hresp_r.
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.ahbl_hreadyout_ext_r.
@N: FX493 |Applying initial value "1" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[0].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[1].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[2].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[3].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[4].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[5].
@N: FX493 |Applying initial value "0" on instance dualport_inst.lscc_sys_mem_inst.bridge_s1\.genblk1\.bridge_s1.genblk5\.bridge_sm_r[6].
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[31] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[30] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[29] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[28] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[27] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[26] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[25] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[24] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[23] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[22] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[21] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[20] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[19] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[18] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[17] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[16] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[15] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[14] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[13] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[12] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[11] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\javos\workspace\dualcore\dualcore\lib\latticesemi.com\module\ahbl2abp1\1.1.0\rtl\ahbl2abp1.v":363:4:363:9|Removing sequential instance apb_pwdata_r[10] (in view: work.ahbl2abp1_ipgen_lscc_ahbl2apb_Z15_layer0(verilog)) because it does not drive other instances.
